institucion,tasa_de_interes_bruta_en_porcentaje_anual,rango_de_plazo_plazo_minimo,rango_de_plazo_plazo_maximo,tipo_de_instrumento,rango_de_inversion_monto_minimo,rango_de_inversion_monto_maximo,tipo_de_tasa,fecha_de_la_informacion
ABC Capital,7.0200,364,364,DEPOSITO A PLAZO,1000000,49999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 0.5000,11/05/2018
ABC Capital,6.4700,252,252,DEPOSITO A PLAZO,1000000,49999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.0500,11/05/2018
ABC Capital,6.4300,364,364,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.0900,11/05/2018
ABC Capital,6.3700,168,168,DEPOSITO A PLAZO,1000000,49999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.1500,11/05/2018
ABC Capital,6.2700,84,84,DEPOSITO A PLAZO,1000000,49999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.2500,11/05/2018
ABC Capital,6.0700,364,364,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.4500,11/05/2018
ABC Capital,5.9700,252,252,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.5500,11/05/2018
ABC Capital,5.8700,168,168,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.6500,11/05/2018
ABC Capital,5.7700,84,84,DEPOSITO A PLAZO,500000,999999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.7500,11/05/2018
ABC Capital,5.7700,364,364,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.7500,11/05/2018
ABC Capital,5.6700,252,252,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.8500,11/05/2018
ABC Capital,5.6200,168,168,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 1.9000,11/05/2018
ABC Capital,5.5200,84,84,DEPOSITO A PLAZO,250000,499999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.0000,11/05/2018
ABC Capital,5.5200,364,364,DEPOSITO A PLAZO,5000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.0000,11/05/2018
ABC Capital,5.5200,364,364,DEPOSITO A PLAZO,50000,99999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.0000,11/05/2018
ABC Capital,5.3700,252,252,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.1500,11/05/2018
ABC Capital,5.3200,168,168,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.2000,11/05/2018
ABC Capital,5.2700,84,84,DEPOSITO A PLAZO,100000,249999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.2500,11/05/2018
ABC Capital,5.1700,252,252,DEPOSITO A PLAZO,5000,49999,Ajustable: CETES 28 DÍAS (VIGENTE EN LA FECHA DE REVISIÓN) MENOS 2.3500,11/05/2018
